Entity;Year;Change in female height (cm);Change in male height (cm);mean male height;mean female height;Change in male height(%);Change in female height (%);Calories from animal protein;Human Development Index (UNDP);Continent;Mortality
Niger;1996;1.9775513;3.7801337;167.6760035;158.2530879;2.306424015;1.265426018;207.4;0.534;Africa;26,580000000000002
Nigeria;1996;3.1962719;4.8601054;165.9067896;156.3214927;3.017823946;2.087358231;231.52;0.235;Africa;20,14
Niue;1996;12.7328087;7.2329028;175.8311176;164.7965434;4.29002336;8.373336828;43.08;;Oceania;
North America;1996;7.1633;8.1189;175.9695;162.7127;4.836980029;4.605160804;60.04;;Oceania;0,9
North Korea;1996;9.8452969;11.4171475;171.9927751;158.9669982;7.110137242;6.602189228;28.08;;Asia;7,1957
North Macedonia;1996;10.2066964;11.8213435;178.330803;159.7820937;7.099502656;6.823780237;;;Europe;2,2014
Norway;1996;6.3426421;8.5050213;179.7451045;165.5649024;4.96672341;3.983514672;;;Europe;0,54
Oman;1996;10.3826048;13.4031011;169.1575236;157.1877249;8.60527803;7.072372403;31.72;0.888;Asia;2,2100000000000004
Pakistan;1996;3.2473958;1.2723268;166.9481799;153.8444325;0.76796152;2.156347742;102.04;;Asia;8,2022
Palau;1996;4.2232758;3.5491777;167.692075;156.2202025;2.162248723;2.7785271;263.36;0.433;Oceania;3,2017
Palestine;1996;7.8872854;11.2292118;172.0872385;158.7540457;6.980821554;5.227980891;134.2;;Asia;3,1945
Panama;1996;10.9838824;11.5079001;168.4895764;155.4710802;7.330728255;7.601976208;88.32;;North America;2,7600000000000002
Papua New Guinea;1996;4.9557177;4.2793746;163.5678363;154.8715667;2.686556549;3.305666301;;0.694;Oceania;7,1957
Paraguay;1996;10.6764289;10.7918183;172.834287;159.8557734;6.659870333;7.156774241;;0.432;South America;3,7100000000000004
Peru;1996;11.4507324;10.3049242;165.2324719;152.9325228;6.651447307;8.09343193;134.52;0.613;South America;5,1936
Philippines;1996;1.7121351;8.5007523;163.2291559;149.6078284;5.493983071;1.157663933;;0.648;Asia;2,2022
Poland;1996;14.0463646;13.6628579;177.3269817;164.58574;8.348108054;9.330691431;166.28;0.606;Europe;1,1933
Portugal;1996;12.5843991;13.9741039;172.9328818;163.0445808;8.791023739;8.363939853;88.48;0.748;Europe;0,91
Puerto Rico;1996;11.9025155;11.5878976;172.0847257;159.2034604;7.220016581;8.080406754;80.92;0.767;North America;
Qatar;1996;8.9545104;11.2558919;170.476481;159.3818927;7.069369586;5.952713039;196.48;;Asia;1,1946
Romania;1996;11.6534214;10.9214984;174.740883;162.7251114;6.666792472;7.713835332;248.92;0.796;Europe;2,6500000000000004
Russia;1996;11.6838175;9.4914057;176.4605305;165.2704945;5.684527431;7.607311863;;0.695;Europe;2,2016
Rwanda;1996;2.5192575;2.7333397;162.6789315;154.7868845;1.708918432;1.654493177;;0.701;Africa;19,430000000000003
Saint Kitts and Nevis;1996;6.4791917;9.3214982;169.6233446;159.1978809;5.814966209;4.242566338;164.6;0.262;North America;2,7300000000000004
Saint Lucia;1996;8.6551287;9.9388357;171.9453164;162.3143903;6.134838345;5.632676228;163.36;;North America;1,9300000000000002
Saint Vincent and the Grenadines;1996;10.1344943;11.0092698;172.7790021;160.6963389;6.805518958;6.731117254;15.84;;;2,2023
Samoa;1996;4.7585304;5.2368058;174.3770605;161.9658644;3.096132147;3.026913744;179.52;;Oceania;2,4000000000000004
Sao Tome and Principe;1996;6.020093;5.1935306;167.3845214;158.9062112;3.202107943;3.937632187;205.88;0.628;Africa;10,090000000000002
Saudi Arabia;1996;6.763007;9.5390693;167.6703062;155.8807485;6.032375062;4.53534699;135.36;0.474;Asia;2,1983
Senegal;1996;5.5765161;6.4688973;173.1387425;162.5167652;3.88126436;3.553273384;174.84;0.727;Africa;13,91
Serbia;1996;15.6950507;13.1239413;180.5674062;167.6901961;7.837834285;10.32602104;59.76;0.369;Europe;1,1974
Seychelles;1996;6.6246143;8.7396433;174.2155275;162.0758377;5.281520834;4.261538864;121.32;0.699;Africa;1,4100000000000001
Sierra Leone;1996;4.1782987;3.8478657;164.4056705;156.5981756;2.39656098;2.741308276;68.24;;Africa;24,61
Singapore;1996;13.2659289;9.7075712;172.5660422;160.3199341;5.960740722;9.021127226;;0.269;Asia;0,48
